key,cited_num,pr,fi,div,dfk,exp_dfk
56316,4,0.007535202,0.001738245,0.011275884,0.665333171,1.945138477
114761,2,0.007535165,0.001731243,0.007811403,0.297050676,1.345883502
54797,1,0.007535151,0.001715708,0.005819443,0,1
91080,6,0.007535119,0.001725767,0.01102324,0.640536774,1.897499134
64885,2,0.007535079,0.001709455,0.014697209,0.925391473,2.522855696
39394,1,0.007535069,0.001793423,0.005741646,0,1
13170,1,0.007535042,0.001741005,0.005794037,0,1
106385,3,0.007535028,0.001818817,0.008819166,0.433621092,1.542834165
60804,4,0.007534999,0.001716795,0.009651267,0.506097589,1.658805209
54558,3,0.007534979,0.001756139,0.008175585,0.346949258,1.414744936
